"TICKET","TRANSACTION DATE","TRANSACTION TYPE","DETAILS","INSTRUMENT","PRICE","UNITS","DIRECTION","SPREAD COST","STOP LOSS","GUARANTEED STOP LOSS","TAKE PROFIT","TRAILING STOP","FINANCING","COMMISSION","GSL FEE","GSL PREMIUM","CONVERSION RATE","PL","AMOUNT","BALANCE"
"99172","2026-03-02 15:53:35 GMT","LIMIT_ORDER","CLIENT_ORDER","NZD/USD","0.59245","33985.00","Sell","","0.59837","","0.58837","","","","","","","","",""
"99173","2026-03-02 15:53:35 GMT","ORDER_FILL","LIMIT_ORDER","NZD/USD","0.59245","33985.00","Sell","1.7796","","","","","0.00000","0.0000","0.0000","","","0.00000","","13037.46"
"99174","2026-03-02 15:53:35 GMT","TAKE_PROFIT_ORDER","ON_FILL","","0.58837","","","","","","","","","","","","","","",""
"99175","2026-03-02 15:53:35 GMT","STOP_LOSS_ORDER","ON_FILL","","0.59837","","","","","","","","","","","","","","",""
"99176","2026-03-02 15:57:21 GMT","ORDER_FILL","TAKE_PROFIT_ORDER","EUR/USD","1.16819","28578.00","Buy","0.9620","","","","","0.00000","0.0000","0.0000","","0.7443","86.99460","","13124.45"
"99177","2026-03-02 15:57:21 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"99178","2026-03-02 16:05:20 GMT","ORDER_FILL","STOP_LOSS_ORDER","USD/CAD","1.37072","44966.00","Buy","2.3311","","","","","0.00000","0.0000","0.0000","","0.5484","-145.99210","","12978.46"
"99179","2026-03-02 16:05:20 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"99180","2026-03-02 16:41:32 GMT","LIMIT_ORDER","CLIENT_ORDER","USD/CAD","1.37053","44409.00","Buy","","1.36463","","1.37463","","","","","","","","",""
"99181","2026-03-02 16:41:35 GMT","ORDER_FILL","LIMIT_ORDER","USD/CAD","1.37053","44409.00","Buy","1.8163","","","","","0.00000","0.0000","0.0000","","","0.00000","","12978.46"
"99182","2026-03-02 16:41:35 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.37463","","","","","","","","","","","","","","",""
"99183","2026-03-02 16:41:35 GMT","STOP_LOSS_ORDER","ON_FILL","","1.36463","","","","","","","","","","","","","","",""
"99184","2026-03-02 17:31:11 GMT","ORDER_FILL","STOP_LOSS_ORDER","EUR/GBP","0.87231","24435.00","Sell","1.5883","","","","","0.00000","0.0000","0.0000","","1.0000","-144.65520","","12833.81"
"99185","2026-03-02 17:31:11 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"99186","2026-03-02 18:32:00 GMT","LIMIT_ORDER","CLIENT_ORDER","EUR/USD","1.16952","30179.00","Sell","","1.17544","","1.16544","","","","","","","","",""
"99187","2026-03-02 18:37:00 GMT","ORDER_CANCEL","TIME_IN_FORCE_EXPIRED","","","","","","","","","","","","","","","","",""
"99188","2026-03-02 18:37:55 GMT","LIMIT_ORDER","CLIENT_ORDER","EUR/USD","1.16885","30169.00","Sell","","1.17477","","1.16477","","","","","","","","",""
"99189","2026-03-02 18:40:36 GMT","LIMIT_ORDER","CLIENT_ORDER","EUR/USD","1.16879","30490.00","Sell","","1.17471","","1.16471","","","","","","","","",""
"99190","2026-03-02 18:40:51 GMT","ORDER_FILL","LIMIT_ORDER","EUR/USD","1.16879","30490.00","Sell","0.6827","","","","","0.00000","0.0000","0.0000","","","0.00000","","12833.81"
"99191","2026-03-02 18:40:51 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.16471","","","","","","","","","","","","","","",""
"99192","2026-03-02 18:40:51 GMT","STOP_LOSS_ORDER","ON_FILL","","1.17471","","","","","","","","","","","","","","",""
"99193","2026-03-02 18:42:55 GMT","ORDER_CANCEL","TIME_IN_FORCE_EXPIRED","","","","","","","","","","","","","","","","",""
"99194","2026-03-02 22:00:00 GMT","DAILY_FINANCING","","","","","","","","","","","0.42770","","","","","","","12834.23"
"","2026-03-02 22:00:00 GMT","DAILY_FINANCING","Trade ID: 99190","EUR/USD","","","","","","","","","0.60160","","","","","","",""
"","2026-03-02 22:00:00 GMT","DAILY_FINANCING","Trade ID: 99181","USD/CAD","","","","","","","","","0.26190","","","","","","",""
"","2026-03-02 22:00:00 GMT","DAILY_FINANCING","Trade ID: 99151","AUD/USD","","","","","","","","","-0.46860","","","","","","",""
"","2026-03-02 22:00:00 GMT","DAILY_FINANCING","Trade ID: 99173","NZD/USD","","","","","","","","","0.03280","","","","","","",""
"99195","2026-03-03 01:23:04 GMT","ORDER_FILL","STOP_LOSS_ORDER","AUD/USD","0.71196","28212.00","Buy","1.5766","","","","","0.00000","0.0000","0.0000","","0.7489","-124.64880","","12709.58"
"99196","2026-03-03 01:23:04 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"99197","2026-03-03 01:23:20 GMT","LIMIT_ORDER","CLIENT_ORDER","AUD/USD","0.71188","28063.00","Buy","","0.70598","","0.71598","","","","","","","","",""
"99198","2026-03-03 01:28:20 GMT","ORDER_CANCEL","TIME_IN_FORCE_EXPIRED","","","","","","","","","","","","","","","","",""
"99199","2026-03-03 01:30:46 GMT","LIMIT_ORDER","CLIENT_ORDER","AUD/USD","0.71145","27713.00","Buy","","0.70554","","0.71554","","","","","","","","",""
"99200","2026-03-03 01:30:53 GMT","ORDER_FILL","LIMIT_ORDER","AUD/USD","0.71144","27713.00","Buy","1.4456","","","","","0.00000","0.0000","0.0000","","","0.00000","","12709.58"
"99201","2026-03-03 01:30:53 GMT","TAKE_PROFIT_ORDER","ON_FILL","","0.71554","","","","","","","","","","","","","","",""
"99202","2026-03-03 01:30:53 GMT","STOP_LOSS_ORDER","ON_FILL","","0.70554","","","","","","","","","","","","","","",""
"99203","2026-03-03 03:17:17 GMT","LIMIT_ORDER","CLIENT_ORDER","GBP/USD","1.34047","28041.00","Sell","","1.34637","","1.33637","","","","","","","","",""
"99204","2026-03-03 03:22:17 GMT","ORDER_CANCEL","TIME_IN_FORCE_EXPIRED","","","","","","","","","","","","","","","","",""
"99205","2026-03-03 03:22:51 GMT","LIMIT_ORDER","CLIENT_ORDER","GBP/USD","1.33981","28100.00","Sell","","1.34571","","1.33571","","","","","","","","",""
"99206","2026-03-03 03:22:55 GMT","ORDER_FILL","LIMIT_ORDER","GBP/USD","1.33982","28100.00","Sell","1.1535","","","","","0.00000","0.0000","0.0000","","","0.00000","","12709.58"
"99207","2026-03-03 03:22:55 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.33571","","","","","","","","","","","","","","",""
"99208","2026-03-03 03:22:55 GMT","STOP_LOSS_ORDER","ON_FILL","","1.34571","","","","","","","","","","","","","","",""
"99209","2026-03-03 06:04:29 GMT","ORDER_FILL","TAKE_PROFIT_ORDER","GBP/USD","1.33571","28100.00","Buy","1.4727","","","","","0.00000","0.0000","0.0000","","0.7450","86.03630","","12795.62"
"99210","2026-03-03 06:04:29 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"99211","2026-03-03 06:26:55 GMT","LIMIT_ORDER","CLIENT_ORDER","GBP/USD","1.33624","28064.00","Sell","","1.34214","","1.33214","","","","","","","","",""
"99212","2026-03-03 06:27:45 GMT","ORDER_FILL","LIMIT_ORDER","GBP/USD","1.33624","28064.00","Sell","1.8901","","","","","0.00000","0.0000","0.0000","","","0.00000","","12795.62"
"99213","2026-03-03 06:27:45 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.33214","","","","","","","","","","","","","","",""
"99214","2026-03-03 06:27:45 GMT","STOP_LOSS_ORDER","ON_FILL","","1.34214","","","","","","","","","","","","","","",""
"99215","2026-03-03 07:41:32 GMT","ORDER_FILL","TAKE_PROFIT_ORDER","EUR/USD","1.16468","30490.00","Buy","0.6857","","","","","0.00000","0.0000","0.0000","","0.7459","93.47750","","12889.10"
"99216","2026-03-03 07:41:32 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"99217","2026-03-03 07:47:00 GMT","LIMIT_ORDER","CLIENT_ORDER","EUR/USD","1.16546","28253.00","Sell","","1.17138","","1.16138","","","","","","","","",""
"99218","2026-03-03 07:47:09 GMT","ORDER_FILL","LIMIT_ORDER","EUR/USD","1.16546","28253.00","Sell","0.8467","","","","","0.00000","0.0000","0.0000","","","0.00000","","12889.10"
"99219","2026-03-03 07:47:09 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.16138","","","","","","","","","","","","","","",""
"99220","2026-03-03 07:47:09 GMT","STOP_LOSS_ORDER","ON_FILL","","1.17138","","","","","","","","","","","","","","",""
"99221","2026-03-03 08:12:26 GMT","ORDER_FILL","TAKE_PROFIT_ORDER","GBP/USD","1.33213","28064.00","Buy","0.9480","","","","","0.00000","0.0000","0.0000","","0.7469","86.15540","","12975.25"
"99222","2026-03-03 08:12:26 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"99223","2026-03-03 08:14:24 GMT","LIMIT_ORDER","CLIENT_ORDER","GBP/USD","1.33161","33769.00","Sell","","1.33752","","1.32752","","","","","","","","",""
"99224","2026-03-03 08:14:27 GMT","ORDER_FILL","LIMIT_ORDER","GBP/USD","1.33162","33769.00","Sell","1.3947","","","","","0.00000","0.0000","0.0000","","","0.00000","","12975.25"
"99225","2026-03-03 08:14:27 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.32752","","","","","","","","","","","","","","",""
"99226","2026-03-03 08:14:27 GMT","STOP_LOSS_ORDER","ON_FILL","","1.33752","","","","","","","","","","","","","","",""
"99227","2026-03-03 08:45:08 GMT","ORDER_FILL","STOP_LOSS_ORDER","AUD/USD","0.70554","27713.00","Sell","1.3535","","","","","0.00000","0.0000","0.0000","","0.7551","-123.47130","","12851.78"
"99228","2026-03-03 08:45:08 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"99229","2026-03-03 09:03:12 GMT","LIMIT_ORDER","CLIENT_ORDER","AUD/USD","0.70572","31331.00","Sell","","0.71164","","0.70164","","","","","","","","",""
"99230","2026-03-03 09:03:12 GMT","ORDER_FILL","LIMIT_ORDER","AUD/USD","0.70572","31331.00","Sell","1.4125","","","","","0.00000","0.0000","0.0000","","","0.00000","","12851.78"
"99231","2026-03-03 09:03:12 GMT","TAKE_PROFIT_ORDER","ON_FILL","","0.70164","","","","","","","","","","","","","","",""
"99232","2026-03-03 09:03:12 GMT","STOP_LOSS_ORDER","ON_FILL","","0.71164","","","","","","","","","","","","","","",""
"99233","2026-03-03 09:23:58 GMT","ORDER_FILL","TAKE_PROFIT_ORDER","EUR/USD","1.16137","28253.00","Buy","0.8501","","","","","0.00000","0.0000","0.0000","","0.7485","86.48790","","12938.27"
"99234","2026-03-03 09:23:58 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"99235","2026-03-03 09:24:15 GMT","LIMIT_ORDER","CLIENT_ORDER","EUR/USD","1.16119","31375.00","Sell","","1.16712","","1.15712","","","","","","","","",""
"99236","2026-03-03 09:24:20 GMT","ORDER_FILL","LIMIT_ORDER","EUR/USD","1.16120","31375.00","Sell","1.0622","","","","","0.00000","0.0000","0.0000","","","0.00000","","12938.27"
"99237","2026-03-03 09:24:20 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.15712","","","","","","","","","","","","","","",""
"99238","2026-03-03 09:24:20 GMT","STOP_LOSS_ORDER","ON_FILL","","1.16712","","","","","","","","","","","","","","",""
"99239","2026-03-03 10:11:53 GMT","LIMIT_ORDER","CLIENT_ORDER","EUR/GBP","0.87219","23388.00","Sell","","0.87811","","0.86811","","","","","","","","",""
"99240","2026-03-03 10:12:10 GMT","ORDER_FILL","LIMIT_ORDER","EUR/GBP","0.87220","23388.00","Sell","1.5202","","","","","0.00000","0.0000","0.0000","","","0.00000","","12938.27"
"99241","2026-03-03 10:12:10 GMT","TAKE_PROFIT_ORDER","ON_FILL","","0.86811","","","","","","","","","","","","","","",""
"99242","2026-03-03 10:12:10 GMT","STOP_LOSS_ORDER","ON_FILL","","0.87811","","","","","","","","","","","","","","",""
"99243","2026-03-03 10:19:01 GMT","ORDER_FILL","TAKE_PROFIT_ORDER","NZD/USD","0.58836","33985.00","Buy","2.1725","","","","","0.00000","0.0000","0.0000","","0.7483","104.01350","","13042.28"
"99244","2026-03-03 10:19:01 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"99245","2026-03-03 10:21:10 GMT","LIMIT_ORDER","CLIENT_ORDER","NZD/USD","0.58830","31613.00","Sell","","0.59421","","0.58421","","","","","","","","",""
"99246","2026-03-03 10:21:10 GMT","ORDER_FILL","LIMIT_ORDER","NZD/USD","0.58830","31613.00","Sell","2.0196","","","","","0.00000","0.0000","0.0000","","","0.00000","","13042.28"
"99247","2026-03-03 10:21:10 GMT","TAKE_PROFIT_ORDER","ON_FILL","","0.58421","","","","","","","","","","","","","","",""
"99248","2026-03-03 10:21:10 GMT","STOP_LOSS_ORDER","ON_FILL","","0.59421","","","","","","","","","","","","","","",""
"99249","2026-03-03 10:38:29 GMT","ORDER_FILL","TAKE_PROFIT_ORDER","AUD/USD","0.70164","31331.00","Buy","1.8859","","","","","0.00000","0.0000","0.0000","","0.7486","95.69910","","13137.98"
"99250","2026-03-03 10:38:29 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"99251","2026-03-03 10:47:18 GMT","LIMIT_ORDER","CLIENT_ORDER","AUD/USD","0.70319","32936.00","Sell","","0.70910","","0.69910","","","","","","","","",""
"99252","2026-03-03 10:47:30 GMT","ORDER_FILL","LIMIT_ORDER","AUD/USD","0.70320","32936.00","Sell","1.4857","","","","","0.00000","0.0000","0.0000","","","0.00000","","13137.98"
"99253","2026-03-03 10:47:30 GMT","TAKE_PROFIT_ORDER","ON_FILL","","0.69910","","","","","","","","","","","","","","",""
"99254","2026-03-03 10:47:30 GMT","STOP_LOSS_ORDER","ON_FILL","","0.70910","","","","","","","","","","","","","","",""
"99255","2026-03-03 11:14:37 GMT","ORDER_FILL","TAKE_PROFIT_ORDER","GBP/USD","1.32750","33769.00","Buy","1.5264","","","","","0.00000","0.0000","0.0000","","0.7496","104.28540","","13242.27"
"99256","2026-03-03 11:14:37 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"99257","2026-03-03 11:15:58 GMT","MARKET_ORDER","CLIENT_ORDER","GBP/USD","","33199.00","Sell","","1.33304","","1.32304","","","","","","","","",""
"99258","2026-03-03 11:15:58 GMT","ORDER_FILL","MARKET_ORDER","GBP/USD","1.32709","33199.00","Sell","1.8761","","","","","0.00000","0.0000","0.0000","","","0.00000","","13242.27"
"99259","2026-03-03 11:15:58 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.32304","","","","","","","","","","","","","","",""
"99260","2026-03-03 11:15:58 GMT","STOP_LOSS_ORDER","ON_FILL","","1.33304","","","","","","","","","","","","","","",""
"99261","2026-03-03 14:26:01 GMT","ORDER_FILL","TAKE_PROFIT_ORDER","EUR/USD","1.15711","31375.00","Buy","1.0616","","","","","0.00000","0.0000","0.0000","","0.7482","96.00630","","13338.27"
"99262","2026-03-03 14:26:01 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"99263","2026-03-03 14:31:13 GMT","LIMIT_ORDER","CLIENT_ORDER","EUR/USD","1.15806","33628.00","Sell","","1.16399","","1.15399","","","","","","","","",""
"99264","2026-03-03 14:31:14 GMT","ORDER_FILL","LIMIT_ORDER","EUR/USD","1.15807","33628.00","Sell","1.0110","","","","","0.00000","0.0000","0.0000","","","0.00000","","13338.27"
"99265","2026-03-03 14:31:14 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.15399","","","","","","","","","","","","","","",""
"99266","2026-03-03 14:31:14 GMT","STOP_LOSS_ORDER","ON_FILL","","1.16399","","","","","","","","","","","","","","",""
"99267","2026-03-03 14:41:51 GMT","ORDER_FILL","TAKE_PROFIT_ORDER","AUD/USD","0.69908","32936.00","Buy","1.4861","","","","","0.00000","0.0000","0.0000","","0.7483","101.53510","","13439.81"
"99268","2026-03-03 14:41:51 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"99269","2026-03-03 14:43:01 GMT","LIMIT_ORDER","CLIENT_ORDER","AUD/USD","0.69887","34584.00","Sell","","0.70479","","0.69479","","","","","","","","",""
"99270","2026-03-03 14:43:01 GMT","ORDER_FILL","LIMIT_ORDER","AUD/USD","0.69888","34584.00","Sell","1.4305","","","","","0.00000","0.0000","0.0000","","","0.00000","","13439.81"
"99271","2026-03-03 14:43:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","0.69479","","","","","","","","","","","","","","",""
"99272","2026-03-03 14:43:01 GMT","STOP_LOSS_ORDER","ON_FILL","","0.70479","","","","","","","","","","","","","","",""
"99273","2026-03-03 15:13:50 GMT","ORDER_FILL","TAKE_PROFIT_ORDER","AUD/USD","0.69476","34584.00","Buy","1.5634","","","","","0.00000","0.0000","0.0000","","0.7497","106.81720","","13546.63"
"99274","2026-03-03 15:13:50 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"99275","2026-03-03 15:13:53 GMT","ORDER_FILL","TAKE_PROFIT_ORDER","NZD/USD","0.58420","31613.00","Buy","1.6675","","","","","0.00000","0.0000","0.0000","","0.7498","97.17790","","13643.80"
"99276","2026-03-03 15:13:53 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"99277","2026-03-03 15:13:53 GMT","ORDER_FILL","TAKE_PROFIT_ORDER","USD/CAD","1.37463","44409.00","Sell","1.9475","","","","","0.00000","0.0000","0.0000","","0.5454","99.31180","","13743.12"
"99278","2026-03-03 15:13:53 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"99279","2026-03-03 15:16:50 GMT","MARKET_ORDER","CLIENT_ORDER","AUD/USD","","34640.00","Sell","","0.70056","","0.69056","","","","","","","","",""
"99280","2026-03-03 15:16:50 GMT","ORDER_FILL","MARKET_ORDER","AUD/USD","0.69456","34640.00","Sell","1.6973","","","","","0.00000","0.0000","0.0000","","","0.00000","","13743.12"
"99281","2026-03-03 15:16:50 GMT","TAKE_PROFIT_ORDER","ON_FILL","","0.69056","","","","","","","","","","","","","","",""
"99282","2026-03-03 15:16:50 GMT","STOP_LOSS_ORDER","ON_FILL","","0.70056","","","","","","","","","","","","","","",""
"99283","2026-03-03 15:18:05 GMT","ORDER_FILL","TAKE_PROFIT_ORDER","EUR/USD","1.15398","33628.00","Buy","0.8875","","","","","0.00000","0.0000","0.0000","","0.7503","103.19410","","13846.31"
"99284","2026-03-03 15:18:05 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"99285","2026-03-03 15:22:22 GMT","LIMIT_ORDER","CLIENT_ORDER","NZD/USD","0.58403","33056.00","Sell","","0.58995","","0.57995","","","","","","","","",""
"99286","2026-03-03 15:22:41 GMT","ORDER_FILL","LIMIT_ORDER","NZD/USD","0.58403","33056.00","Sell","1.8692","","","","","0.00000","0.0000","0.0000","","","0.00000","","13846.31"
"99287","2026-03-03 15:22:41 GMT","TAKE_PROFIT_ORDER","ON_FILL","","0.57995","","","","","","","","","","","","","","",""
"99288","2026-03-03 15:22:41 GMT","STOP_LOSS_ORDER","ON_FILL","","0.58995","","","","","","","","","","","","","","",""
"99289","2026-03-03 15:27:19 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","35831.00","Sell","","1.16087","","1.15087","","","","","","","","",""
"99290","2026-03-03 15:27:19 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.15494","35831.00","Sell","1.3500","","","","","0.00000","0.0000","0.0000","","","0.00000","","13846.31"
"99291","2026-03-03 15:27:19 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.15087","","","","","","","","","","","","","","",""
"99292","2026-03-03 15:27:19 GMT","STOP_LOSS_ORDER","ON_FILL","","1.16087","","","","","","","","","","","","","","",""
"99293","2026-03-03 15:29:04 GMT","LIMIT_ORDER","CLIENT_ORDER","USD/CAD","1.37281","49087.00","Buy","","1.36690","","1.37690","","","","","","","","",""
"99294","2026-03-03 15:29:05 GMT","ORDER_FILL","LIMIT_ORDER","USD/CAD","1.37281","49087.00","Buy","2.2900","","","","","0.00000","0.0000","0.0000","","","0.00000","","13846.31"
"99295","2026-03-03 15:29:05 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.37690","","","","","","","","","","","","","","",""
"99296","2026-03-03 15:29:05 GMT","STOP_LOSS_ORDER","ON_FILL","","1.36690","","","","","","","","","","","","","","",""
"99297","2026-03-03 16:05:28 GMT","ORDER_FILL","STOP_LOSS_ORDER","AUD/USD","0.70056","34640.00","Buy","1.6916","","","","","0.00000","0.0000","0.0000","","0.7550","-156.92870","","13689.38"
"99298","2026-03-03 16:05:28 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"99299","2026-03-03 16:43:49 GMT","ORDER_FILL","STOP_LOSS_ORDER","USD/CAD","1.36690","49087.00","Sell","2.8312","","","","","0.00000","0.0000","0.0000","","0.5520","-160.15130","","13529.23"
"99300","2026-03-03 16:43:49 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"99301","2026-03-03 16:46:56 GMT","ORDER_FILL","STOP_LOSS_ORDER","GBP/USD","1.33304","33199.00","Buy","1.8680","","","","","0.00000","0.0000","0.0000","","0.7540","-148.93240","","13380.30"
"99302","2026-03-03 16:46:56 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"99303","2026-03-03 18:06:48 GMT","LIMIT_ORDER","CLIENT_ORDER","USD/CAD","1.36666","42301.00","Sell","","1.37255","","1.36255","","","","","","","","",""
"99304","2026-03-03 18:06:53 GMT","ORDER_FILL","LIMIT_ORDER","USD/CAD","1.36666","42301.00","Sell","2.0894","","","","","0.00000","0.0000","0.0000","","","0.00000","","13380.30"
"99305","2026-03-03 18:06:53 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.36255","","","","","","","","","","","","","","",""
"99306","2026-03-03 18:06:53 GMT","STOP_LOSS_ORDER","ON_FILL","","1.37255","","","","","","","","","","","","","","",""
"99307","2026-03-03 18:32:43 GMT","ORDER_FILL","STOP_LOSS_ORDER","EUR/USD","1.16087","35831.00","Buy","1.0740","","","","","0.00000","0.0000","0.0000","","0.7531","-160.02350","","13220.27"
"99308","2026-03-03 18:32:43 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"99309","2026-03-03 18:41:18 GMT","ORDER_FILL","STOP_LOSS_ORDER","NZD/USD","0.58995","33056.00","Buy","1.8555","","","","","0.00000","0.0000","0.0000","","0.7522","-147.19430","","13073.08"
"99310","2026-03-03 18:41:18 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"99311","2026-03-03 22:00:00 GMT","DAILY_FINANCING","","","","","","","","","","","-1.92920","","","","","","","13071.15"
"","2026-03-03 22:00:00 GMT","DAILY_FINANCING","Trade ID: 99240","EUR/GBP","","","","","","","","","0.39910","","","","","","",""
"","2026-03-03 22:00:00 GMT","DAILY_FINANCING","Trade ID: 99304","USD/CAD","","","","","","","","","-2.32830","","","","","","",""
